entity_id,event_type,event,time,resource_id,value,fuel_level_start,fuel_level_end
StationTank,fuel_level_change,fuel_level_change,6324.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6325.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6326.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6327.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6328.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6329.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6330.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6331.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6332.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6333.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6334.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6335.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6336.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6337.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6338.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6339.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6340.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6341.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6342.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6343.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6344.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6345.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6346.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6347.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6348.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6349.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6350.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6351.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6352.0,,437.0,,
Car 111,resource_use_end,pumping_ends,6353.0,2.0,,10.0,50.0
Car 111,arrival_departure,depart,6353.0,,,,
StationTank,fuel_level_change,fuel_level_change,6353.0,,437.0,,
Car 113,resource_use,payment_begins,6353.0,2.0,,12.0,50.0
StationTank,fuel_level_change,fuel_level_change,6354.0,,399.0,,
Car 112,resource_use_end,payment_ends,6355.0,1.0,,7.0,50.0
Car 112,resource_use,pumping_begins,6355.0,1.0,,7.0,50.0
StationTank,fuel_level_change,fuel_level_change,6355.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6356.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6357.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6358.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6359.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6360.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6361.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6362.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6363.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6364.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6365.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6366.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6367.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6368.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6369.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6370.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6371.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6372.0,,399.0,,
